13/08/09,166.65,168.67,166.50,168.42,15713600,167.70,167.535,152.337857142857,35.3361976438973,187.674054786754,117.00165949896
12/08/09,162.55,166.71,162.46,165.31,15895400,164.60,163.93,151.482142857143,35.2589416875857,186.741084544729,116.223201169557
11/08/09,163.69,164.38,161.88,162.83,12690800,162.13,163.26,150.476904761905,35.2072505130758,185.684155274981,115.269654248829
10/08/09,165.66,166.60,163.66,164.72,10724800,164.02,165.19,149.322142857143,35.0980656009497,184.420208458093,114.224077256193
07/08/09,165.49,166.60,164.80,165.51,13834100,164.80,165.5,147.985476190476,34.9854712310968,182.970947421573,113.000004959379
06/08/09,165.58,166.51,163.09,163.91,12200600,163.21,164.745,146.667142857143,34.8436868590075,181.51082971615,111.823455998135
05/08/09,165.75,167.39,164.21,165.11,15113700,164.40,165.43,145.292857142857,34.6351670117032,179.92802415456,110.657690131154
04/08/09,164.93,165.57,164.21,165.55,14136100,164.84,165.24,143.945238095238,34.3697832214647,178.315021316703,109.575454873773
03/08/09,165.21,166.64,164.87,166.43,14080000,165.72,165.82,142.651666666667,34.0146891185754,176.666355785242,108.636977548091
31/07/09,162.99,165.00,162.91,163.39,15090600,162.69,163.19,141.577619047619,33.6882770269959,175.265896074615,107.889342020623
30/07/09,161.70,164.72,161.50,162.79,16771600,162.09,162.245,140.669047619048,33.3586898580807,174.027737477128,107.310357760967
29/07/09,158.90,160.45,158.25,160.03,13648500,159.35,159.465,139.861428571429,33.0850641960559,172.946492767485,106.776364375373
28/07/09,158.88,160.10,157.60,160.00,12984100,159.32,159.44,139.065,32.7901903013691,171.855190301369,106.274809698631
27/07/09,160.17,160.88,157.26,160.10,15475400,159.42,160.135,138.159285714286,32.4399156243398,170.599201338626,105.719370089946
24/07/09,156.95,160.00,156.50,159.99,15655800,159.31,158.47,137.175238095238,32.1046940289185,169.279932124157,105.07054406632
23/07/09,156.63,158.44,155.56,157.82,18820100,157.15,157.225,136.155952380952,31.7744028118172,167.93035519277,104.381549569135
22/07/09,157.79,158.73,156.11,156.74,31218000,156.07,157.265,135.105476190476,31.404133800535,166.509609991011,103.701342389941
21/07/09,153.29,153.43,149.75,151.51,31242200,150.86,152.4,134.468333333333,31.1705713507682,165.638904684102,103.297761982565
20/07/09,153.27,155.04,150.89,152.91,26268800,152.26,153.09,133.786666666667,30.898311617843,164.68497828451,102.888355048824
17/07/09,149.08,152.02,148.63,151.75,21505500,151.10,150.415,133.1,30.6696810792026,163.769681079203,102.430318920797
16/07/09,145.76,148.02,145.57,147.52,14056100,146.89,146.64,132.599285714286,30.5230574846998,163.122343198985,102.076228229586
15/07/09,145.04,147.00,144.32,146.88,17342400,146.25,145.96,132.149047619048,30.385547288927,162.534594907975,101.763500330121
14/07/09,142.03,143.18,141.16,142.27,12401700,141.66,142.15,131.858571428571,30.3142344098798,162.172805838451,101.544337018692
13/07/09,139.54,142.34,137.53,142.34,17267900,141.73,140.94,131.713333333333,30.2758310923636,161.989164425697,101.43750224097
10/07/09,136.34,138.97,136.32,138.52,15902700,137.93,137.43,131.82380952381,30.3019557085331,162.125765232343,101.521853815276
09/07/09,137.76,137.99,135.93,136.36,12250900,135.78,137.06,132.024047619048,30.3521389534184,162.376186572466,101.671908665629
08/07/09,135.92,138.04,134.42,137.22,20568900,136.63,136.57,132.342857142857,30.4373172919128,162.78017443477,101.905539850944
07/07/09,138.48,139.68,135.18,135.40,16485600,134.82,136.94,132.67119047619,30.526445457372,163.197635933562,102.144745018819
06/07/09,138.70,138.99,136.25,138.61,17810300,138.02,138.655,132.972857142857,30.6196942167712,163.592551359628,102.353162926086
02/07/09,141.25,142.83,139.79,140.02,13231400,139.42,140.635,133.034761904762,30.6372686232059,163.672030527968,102.397493281556
01/07/09,143.50,144.66,142.52,142.83,14792100,142.22,143.165,132.906666666667,30.5983949061602,163.505061572827,102.308271760506
30/06/09,142.58,143.80,141.80,142.43,15508000,141.82,142.505,132.75119047619,30.5554503282459,163.306640804436,102.195740147945
29/06/09,143.46,143.95,141.54,141.97,20272000,141.36,142.715,132.522380952381,30.4950383513059,163.017419303687,102.027342601075
26/06/09,139.79,143.56,139.74,142.44,15692300,141.83,141.115,132.259761904762,30.4410393825585,162.70080128732,101.818722522203
25/06/09,135.75,140.20,135.21,139.86,21051700,139.26,137.805,132.090952380952,30.4185719840301,162.509524364982,101.672380396922
24/06/09,135.42,137.50,134.86,136.22,17340200,135.64,135.82,131.928809523809,30.4067735424511,162.335583066261,101.522035981358
23/06/09,136.40,136.95,132.88,134.01,25233300,133.44,135.205,131.574761904762,30.4100045000075,161.984766404769,101.164757404754
22/06/09,140.67,141.56,136.33,137.37,22675500,136.78,139.02,130.825,30.4113605006419,161.236360500642,100.413639499358
19/06/09,138.07,139.50,136.90,139.48,25780600,138.88,138.775,130.153095238095,30.3827907488841,160.535885986979,99.7703044892112
18/06/09,136.11,138.00,135.59,135.88,15274300,135.30,135.995,129.712857142857,30.3608816395139,160.073738782371,99.3519755033432
17/06/09,136.67,137.45,134.53,135.58,20407600,135.00,136.125,129.284761904762,30.3293124500124,159.614074354774,98.9554494547495
16/06/09,136.66,138.47,136.10,136.35,18385900,135.77,136.505,128.745952380952,30.295117165108,159.04106954606,98.4508352158444
15/06/09,136.01,136.93,134.89,136.09,19276800,135.51,136.05,128.094523809524,30.2772807524372,158.371804561961,97.8172430570866
12/06/09,138.81,139.10,136.04,136.97,20110200,136.38,137.89,127.307619047619,30.2246638781578,157.532282925777,97.0829551694612
11/06/09,139.55,141.56,138.55,139.95,18743700,139.35,139.75,126.431428571429,30.1124265106142,156.543855082043,96.3190020608143
10/06/09,142.28,142.35,138.30,140.25,24593700,139.65,141.265,125.751666666667,29.9213453630236,155.67301202969,95.8303213036431
09/06/09,143.81,144.56,140.55,142.72,24177300,142.11,143.265,125.047142857143,29.66141199317,154.708554850313,95.3857308639728
08/06/09,143.82,144.23,139.43,143.85,33273300,143.24,143.835,124.346190476191,29.3676974712337,153.713887947424,94.9784930049568
05/06/09,145.31,146.40,143.21,144.67,22597000,144.05,144.99,123.665476190476,29.0289879217637,152.69446411224,94.6364882687125
04/06/09,140.13,144.18,140.04,143.74,19665500,143.13,141.935,123.235952380952,28.811062702504,152.047015083456,94.4248896784484
03/06/09,140.00,141.11,139.07,140.95,20185700,140.35,140.475,122.843333333333,28.6199385627107,151.463271896044,94.2233947706227
02/06/09,138.99,141.34,138.35,139.49,16293700,138.89,139.24,122.410714285714,28.4277128118723,150.838427097587,93.9830014738421
01/06/09,136.47,139.99,136.00,139.35,16160700,138.75,137.91,121.868333333333,28.2251463828504,150.093479716184,93.6431869504829
29/05/09,135.39,135.90,133.85,135.81,16304800,135.23,135.6,121.412380952381,28.0691389527292,149.48151990511,93.3432419996518
28/05/09,133.45,135.39,132.03,135.07,17412600,134.49,134.26,120.97119047619,27.9295698545807,148.900760330771,93.0416206216097
27/05/09,131.78,134.98,130.91,133.05,23086500,132.48,132.415,120.552619047619,27.815121904238,148.367740951857,92.7374971433811
26/05/09,124.76,130.83,124.55,130.78,22747400,130.22,127.77,120.364285714286,27.7771739151823,148.141459629468,92.5871117991034
22/05/09,124.05,124.18,121.75,122.50,10642800,121.98,123.275,120.411666666667,27.7832350678126,148.194901734479,92.628431598854
21/05/09,125.15,126.78,122.89,124.18,14569500,123.65,124.665,120.475714285714,27.7950781293071,148.270792415021,92.6806361564072
20/05/09,127.63,129.21,125.30,125.87,13878000,125.33,126.75,120.252857142857,27.7609973511142,148.013854493971,92.4918597917429
19/05/09,126.82,129.31,125.74,127.45,13300800,126.91,127.135,119.928571428571,27.716324077286,147.644895505857,92.2122473512855
18/05/09,123.73,126.70,121.57,126.65,16387200,126.11,125.19,119.734523809524,27.6919001201056,147.426423929629,92.0426236894182
15/05/09,122.32,124.62,121.61,122.42,13127400,121.90,122.37,119.731190476191,27.6915712313676,147.422761707558,92.0396192448229
14/05/09,119.78,123.53,119.70,122.95,15993800,122.42,121.365,119.681428571429,27.6894273208592,147.370855892288,91.9920012505694
13/05/09,123.21,124.02,119.38,119.49,21284700,118.98,121.35,119.494285714286,27.6908668736514,147.185152587937,91.8034188406343
12/05/09,129.56,129.71,123.25,124.42,21767200,123.89,126.99,119.110952380952,27.637581145021,146.748533525973,91.4733712359314
11/05/09,127.37,130.96,127.12,129.57,14452100,129.02,128.47,118.713095238095,27.5561336854515,146.269228923547,91.1569615526437
08/05/09,129.04,131.23,126.26,129.19,16713000,128.64,129.115,118.23119047619,27.4534269675373,145.684617443728,90.7777635086531
07/05/09,132.33,132.39,127.90,129.06,18992000,128.51,130.695,117.525476190476,27.3071047945751,144.832580985051,90.2183713959011
06/05/09,133.33,133.50,130.22,132.50,16912100,131.93,132.915,116.70880952381,27.0793421681898,143.788151691999,89.6294673556197
05/05/09,131.75,132.86,131.12,132.71,14223400,132.14,132.23,115.969047619048,26.8453125153651,142.814360134413,89.1237351036825
04/05/09,128.24,132.25,127.68,132.07,21762800,131.51,130.155,115.251666666667,26.647833135798,141.899499802465,88.6038335308687
01/05/09,125.80,127.95,125.80,127.24,14197000,126.70,126.52,114.532857142857,26.5320163468322,141.064873489689,88.000840796025
30/04/09,126.22,127.00,124.92,125.83,17803200,125.29,126.025,113.597857142857,26.4526330244944,140.050490167352,87.1452241183628
29/04/09,124.85,126.85,123.83,125.14,16361100,124.61,124.995,112.659285714286,26.377590265494,139.03687597978,86.2816954487917
28/04/09,123.35,126.21,123.26,123.90,16280600,123.37,123.625,111.748571428571,26.3101263842868,138.058697812858,85.4384450442846
27/04/09,122.90,125.00,122.66,124.73,17167500,124.20,123.815,110.973571428571,26.1762824491398,137.149853877711,84.7972889794316
24/04/09,124.64,125.14,122.97,123.90,19313000,123.37,124.27,110.239285714286,26.000333761594,136.23961947588,84.2389519526917
23/04/09,126.62,127.20,123.51,125.40,33755600,124.86,126.01,109.335714285714,25.7534015853107,135.089115871025,83.5823127004035
22/04/09,122.63,125.35,121.20,121.51,33527400,120.99,122.07,108.590952380952,25.5923689123852,134.183321293338,82.9985834685672
21/04/09,118.89,122.14,118.60,121.76,16810200,121.24,120.325,107.87,25.4581856678751,133.328185667875,82.4118143321249
20/04/09,121.73,122.99,119.16,120.50,16659500,119.98,121.115,106.952142857143,25.303777908221,132.255920765364,81.6483649489219
17/04/09,121.18,124.25,120.25,123.42,17767700,122.89,122.3,105.972857142857,25.0770277131994,131.049884856057,80.8958294296577
16/04/09,119.19,123.15,118.79,121.45,21194500,120.93,120.32,105.039285714286,24.8803619992613,129.919647713547,80.1589237150244
